number,value,datetime_start,datetime_complete,duration,params_add_results,params_dropout,params_ff_dim,params_learning_rate,params_n_block,params_pred_len,params_rho,params_seq_len,params_use_sam,user_attrs_val_mae,state
0,inf,2024-12-09 16:11:17.743144,2024-12-09 16:11:22.347104,0 days 00:00:04.603960,False,0.7202554870723611,64,1.2496124338682827e-05,8,78,0.28771789623043187,156,False,inf,COMPLETE
1,inf,2024-12-09 16:11:22.348102,2024-12-09 16:11:26.970313,0 days 00:00:04.622211,True,0.7019687394878357,32,0.0008152896024540315,4,78,0.8600817383315332,260,True,inf,COMPLETE
2,inf,2024-12-09 16:11:26.970313,2024-12-09 16:11:31.549966,0 days 00:00:04.579653,False,0.4056862858625687,256,0.0001647719027590604,3,78,0.22015920865096084,156,True,inf,COMPLETE
3,inf,2024-12-09 16:11:31.550963,2024-12-09 16:11:36.075692,0 days 00:00:04.524729,True,0.4254437576498681,64,1.615268995777384e-05,7,26,0.3624381311640079,104,True,inf,COMPLETE
4,inf,2024-12-09 16:11:36.075692,2024-12-09 16:11:40.655405,0 days 00:00:04.579713,False,0.43114034908944177,256,1.275829874043349e-05,3,78,0.6060212147902203,104,True,inf,COMPLETE
5,inf,2024-12-09 16:11:40.656404,2024-12-09 16:11:45.215443,0 days 00:00:04.559039,False,0.22616143399666777,64,1.0884140031307912e-05,8,52,0.14012372875058443,156,True,inf,COMPLETE
6,inf,2024-12-09 16:11:45.215443,2024-12-09 16:11:49.778474,0 days 00:00:04.563031,False,0.1946444517034716,32,0.0003952790152732956,3,78,0.6319846303234031,260,True,inf,COMPLETE
7,inf,2024-12-09 16:11:49.778474,2024-12-09 16:11:54.238665,0 days 00:00:04.460191,True,0.6174126525675235,256,0.0006752086955330219,1,104,0.48397924287154115,260,True,inf,COMPLETE
8,inf,2024-12-09 16:11:54.239666,2024-12-09 16:11:58.643797,0 days 00:00:04.404131,True,0.8119342598804755,64,3.5246041000676434e-05,6,52,0.41146859670540314,208,False,inf,COMPLETE
9,inf,2024-12-09 16:11:58.645292,2024-12-09 16:12:03.064794,0 days 00:00:04.419502,True,0.6136796413227807,32,7.079609200672378e-05,6,104,0.5536589772456589,156,True,inf,COMPLETE
